 NA. No. LeaseWarehouse District LaiLong longtitude Area Fee Closest_point Closest_distance House_Price Distance_from_center
86 823 4597 （出租）长阳仓库1600平米 Fangshan 39.765589 116.217153 1600 0.208333333333 20804 0.252602812567 30847.0 20.5139245117
87 647 3594 （出租）出租大兴-庞各庄800平米仓库15000元/月 Daxing 39.634751 116.324249 2400 0.208333333333 17886 0.393646920682 35911.0 15.3539910851
88 1675 4720 （出租）出租昌平沙河附近仓库（在百善附近） Changping 40.16724 116.320368 400 0.208333333333 15343 0.430131112749 41819.0 15.0110158465
89 1902 1833 （出租）出租房山-良乡240平米仓库1500元/月 Fangshan 39.752839 116.141084 240 0.208333333333 20400 0.0733395914791 23479.0 28.7686591667
90 2111 2026 （出租）上庄村1组后院仓库160平米 Haidian 40.106185 116.212178 160 0.208333333333 7278 1.15296463466 52408.0 22.1213775019
91 1334 3478 （出租）斑竹园雷家村10组仓库700平米 Dongcheng 39.949528 116.408592 700 0.214285714286 949 0.185856935249 105027.0 2.88461469758
92 2070 4649 （出租）个人小汤山附近独院低价出租 Changping 40.177325 116.399907 200 0.216666666667 14969 0.250602394761 12758.0 13.377239201
93 521 4276 （出租）出租通州-张家湾3000平米仓库20000元/月 Tongzhou 39.858341 116.72043 3000 0.222222222222 12696 1.74698838549 43117.0 36.7582900812
94 831 806 （出租）漷县觅子店村(粮库旁)仓库1500平米 Tongzhou 39.77976 116.793715 1500 0.222222222222 13227 0.926103257832 30584.0 45.2746473696
95 1745 4295 （出租）出租丰台-科技园区300平米仓库2000元/月 Fengtai 39.9211671 116.5284555 300 0.222222222222 3688 0.0684848131833 67905.0 15.3451942243
96 2120 4627 （出租）出租大兴-大兴周边150平米仓库1000元/月 Daxing 39.726929 116.341395 150 0.222222222222 17014 0.0509211734925 34075.0 10.4619769153
97 1818 1136 （出租）方庄地下室库房出租 Fengtai 39.866003 116.433153 300 0.222222222222 8683 0.08415707614 75002.0 5.15949444776
98 603 1037 （出租）长阳镇107国道旁4.5亩独院住房库房出租 Fangshan 39.765589 116.217153 2700 0.222222222222 20804 0.252602812567 30847.0 20.5139245117
99 883 2115 （出租）沙河福田西路仓库1500平米 Changping 40.148969 116.290595 1500 0.222222222222 16261 0.582117453835 27465.0 16.2949981631
100 1622 3564 （出租）大兴周边采育高速出口南1000米仓库500㎡ Daxing 39.726929 116.341395 450 0.222222222222 17014 0.0509211734925 34075.0 10.4619769153
101 1821 1846 （出租）通州区于家务乡神仙村仓库300平米 Tongzhou 39.720411 116.737358 300 0.222222222222 13227 7.79405641212 30584.0 39.6658530672
102 1827 3639 （出租）张家湾垡头村居住仓库300平米 Tongzhou 39.794823 116.721333 300 0.222222222222 12696 4.51973623002 43117.0 37.2015837655
103 2665 4404 （出租）五道口华清嘉园仓库出租，可寄存行李物品 Haidian 39.991246 116.337077 30 0.222222222222 6186 0.200247485564 131708.0 7.24520694923
104 2831 4072 （出租）家庭或公司需物品存储的外接仓库出租,环境恒温恒湿, Chaoyang 39.9913478 116.4775399 15 0.222222222222 3656 0.0896588375113 62422.0 10.5214679981
105 1952 1141 （出租）生物医药基地北臧村镇赵家场村厂房220平米 Daxing 39.696489 116.319069 220 0.227272727273 17216 0.231616037828 32880.0 13.1057133134
106 679 1402 （出租）自家宽敞厂房低价出租 Huairou 40.316304 116.63198 2160 0.231481481481 21367 5.79790593642 22677.0 33.6472175586
107 1297 789 （出租）出租大兴-大兴周边700平米仓库5000元/月 Daxing 39.693891 116.563311 700 0.238095238095 13680 2.44549689357 26219.0 21.9325597344
108 1718 4183 （出租）房山长阳阎仙垡村仓库350平米 Fangshan 39.728189 116.229928 350 0.238095238095 20458 1.71323891192 43126.0 19.9313218592
109 1720 773 （出租）大兴周边魏善庄中柚路附近仓库350平米 Daxing 39.726929 116.341395 350 0.238095238095 17014 0.0509211734925 34075.0 10.4619769153
110 1274 1856 （出租）出租房山良乡仓库 Fangshan 39.713105 116.102416 800 0.25 20823 0.531025203686 24155.0 33.4389115315
111 1276 2088 （出租）出租良乡独门独院仓库 Fangshan 39.752839 116.141084 800 0.25 20400 0.0733395914791 23479.0 28.7686591667
112 376 2289 （出租）顺义庄头村5000平米库房出租 Shunyi 40.145411 116.643384 5000 0.25 19202 0.200620321149 39100.0 30.4897731422
113 605 185 （出租）通州区武兴路旁2600㎡独立库房低价出租 Tongzhou 39.915848 116.728974 2600 0.25 12670 1.67293171869 90818.0 37.6292156882
114 646 941 （出租）出租密云-密云周边2400平米仓库18000元/月 Miyun 40.358732 116.801357 2400 0.25 21372 5.10822738062 30192.0 50.899514743
115 1118 3020 （出租）{出租}通州仓库1000高5米跨度28米 Tongzhou 39.915848 116.728974 1000 0.25 12670 1.67293171869 90818.0 37.6292156882
116 1207 4319 （出租）出租朝阳-亚运村800平米仓库6000元/月 Chaoyang 39.986856 116.38589 800 0.25 5653 0.0530316256223 75736.0 3.95527176869
117 1628 3571 （出租）出租通州-宋庄400平米仓库3000元/月 Tongzhou 39.9440987 116.730246 400 0.25 12670 1.74162777719 90818.0 37.8121312524
118 1666 1084 （出租）宋庄镇翟里村仓库400平米价格可议 Tongzhou 39.996712 116.748778 400 0.25 21766 2.93406667413 28289.0 40.0752869558
119 1667 1284 （出租）出租通州宋庄独门独院、仓库 Tongzhou 39.940709 116.72745 400 0.25 12073 1.88339682017 59738.0 37.4937952083
120 1677 2042 （出租）通州区张家湾小圣庙仓库220平米（带平房两间） Tongzhou 39.8923915 116.6791229 400 0.25 11964 0.0576469142813 51362.0 32.0925553699
121 2042 1071 （出租）大兴周边魏善庄东仓库200平米 Daxing 39.6660695 116.4280348 200 0.25 18158 0.748906640344 33845.0 12.6468676576
122 1579 489 （出租）500至2000平米厂房(仓库)丰台云岗、G4旁 Fengtai 39.763719 116.198125 500 0.253333333333 20432 0.553898009013 61248.0 22.5425848994
123 1588 1209 （出租）有动力电大兴采育500平米厂房出租出售 Daxing 39.652383 116.66664 500 0.253333333333 13400 9.38217003265 32403.0 33.2082707895
125 235 2685 （出租）出租通州-马驹桥9000平米仓库72000元/月 Tongzhou 39.747626 116.5454285 9000 0.266666666667 12761 0.160254579213 42089.0 18.9536930723
126 880 4664 （出租）距京津高速德仁务出口三公里厂库房1500平米 Tongzhou 39.909946 116.656435 1500 0.266666666667 12758 0.0788754084736 67210.0 29.561215717
127 1133 3573 （出租）漷县京沈高速漷县出口三公里仓库1000平米 Tongzhou 39.77976 116.793715 1000 0.266666666667 13227 0.926103257832 30584.0 45.2746473696
128 1287 1231 （出租）出租朝阳-东坝750平米仓库6000元/月 Chaoyang 39.990085 116.632241 750 0.266666666667 13665 1.99342094458 33334.0 27.1813911609
129 1506 2304 （出租）出租朝阳-马各庄500平米仓库4000元/月 Chaoyang 39.953986 116.605521 500 0.266666666667 3743 0.888586163947 50903.0 24.0104911788
130 1589 1931 （出租）独院平房库房500平米 Fengtai 39.841181 116.209211 500 0.266666666667 10522 0.0927803011878 40565.0 20.4312059821
131 2045 1171 （出租）良乡肖庄村仓库200平米 Fangshan 39.706076 116.123607 200 0.266666666667 20286 1.02889792055 25028.0 31.2970750205
132 2166 601 （出租）花溪区上水村四组，十里河仓库150平米 Chaoyang 39.92147 116.443108 150 0.266666666667 2504 0.0977475883294 80972.0 5.88070048273
133 2310 471 （出租）个人低价出租单间,大小库房 Fengtai 39.8514633 116.3172379 100 0.266666666667 10471 0.141682146057 55113.0 8.61267921196
134 2314 939 （出租）顺义区河南村仓库100平米 Shunyi 40.102024 116.700983 100 0.266666666667 19218 0.552714307768 34825.0 35.8422875632
135 2415 3075 （出租）滨河金荣园小区车库转租需要的私聊 Daxing 39.7657475 116.3795956 75 0.266666666667 16890 0.771116421519 34383.0 7.11172862372
136 765 3825 （出租）良乡良乡南上岗尚岗工业2000平米可分租 Fangshan 39.752839 116.141084 2000 0.27375 20400 0.0733395914791 23479.0 28.7686591667
137 829 4599 （出租）独门独院出租 Fengtai 39.841181 116.209211 1500 0.277777777778 10522 0.0927803011878 40565.0 20.4312059821
138 1814 808 （出租）北七家附近出租库房 Changping 40.133148 116.42823 300 0.277777777778 13743 0.124131232952 36186.0 11.9180119347
139 794 528 （出租）六环内交通便利，可做库房厂房或公寓 Fangshan 39.752839 116.141084 1800 0.277777777778 20400 0.0733395914791 23479.0 28.7686591667
140 1381 1058 （出租）出租通州-漷县600~1200㎡厂库房 Tongzhou 39.797829 116.744639 600 0.277777777778 12696 5.78193856631 43117.0 39.7449763949
141 1386 1335 （出租）出租房山-长阳600平米仓库5000元/月 Fangshan 39.765589 116.217153 600 0.277777777778 20804 0.252602812567 30847.0 20.5139245117
142 1444 521 （出租）顺义区赵全营镇去碑营村库房厂房600平米 Shunyi 40.233319 116.600318 600 0.277777777778 19472 4.93220473845 27463.0 28.3737191603
143 1451 2022 （出租）通州周边通州区宋庄镇北窑上村厂房600平米 Tongzhou 40.004189 116.680052 600 0.277777777778 13308 0.39622148243 40202.0 32.5432793846
144 1454 2437 （出租）顺义仁和镇沙坨村办公仓库出租，独门独院。 Shunyi 40.107446 116.622029 600 0.277777777778 20126 0.85617494723 33192.0 27.5813495445
145 1755 3053 （出租）出租丰台-世界公园300平米仓库2500元/月 Fengtai 39.8106224 116.2878679 300 0.277777777778 17277 0.309500952644 54996.0 12.3819601864
146 1817 1047 （出租）大兴周边魏善庄中轴路附近厂房300平米 Daxing 39.6257893 116.4156382 300 0.277777777778 18373 2.12828396059 34145.0 14.2065833958
147 1822 2565 （出租）顺义城区卧龙环岛附近仓库300平米 Shunyi 40.1380468 116.6404155 300 0.277777777778 19173 0.121570422504 41327.0 30.0443569135
148 1912 1455 （出租）长阳京良路南其他240平米 Fangshan 39.792856 116.318433 240 0.277777777778 16796 0.95036854408 52853.0 9.81881648126
149 916 2964 （出租）出租通州仓库1300平方米 Tongzhou 39.858341 116.72043 1300 0.28 12696 1.74698838549 43117.0 36.7582900812
150 1080 3979 （出租）（通州出租）仓库1000、高5米、独门独院， Tongzhou 39.9051096 116.7362616 1000 0.28 12670 1.28338862752 90818.0 38.43747153
151 1542 2999 （出租）通州标准仓储库500平米 Tongzhou 39.9051096 116.7362616 500 0.28 12670 1.28338862752 90818.0 38.43747153
152 1623 1218 （出租）云岗六环边上，交通方便，独门厂房400---5平米 Fengtai 39.811388 116.163907 450 0.281481481481 9437 0.76169828789 38709.0 25.646075309
153 1361 938 （出租）长子营镇仓库650平米低价出租 Daxing 39.726929 116.341395 650 0.282051282051 17014 0.0509211734925 34075.0 10.4619769153
154 1138 1041 （出租）讲理村南厂房住房 Changping 40.177325 116.399907 1000 0.283333333333 14969 0.250602394761 12758.0 13.377239201
155 500 1069 （出租）通州宋庄小堡北3500平米厂房仓库库房东六环徐 Tongzhou 39.940709 116.72745 3500 0.285714285714 12073 1.88339682017 59738.0 37.4937952083
156 672 153 （出租）临近103国道武兴路3000平米库房出租 Tongzhou 39.858341 116.72043 2300 0.289855072464 12696 1.74698838549 43117.0 36.7582900812
157 1671 3144 （出租）出租通州宋庄仓库 Tongzhou 39.989054 116.756997 400 0.291666666667 21766 1.94305053812 28289.0 40.9442930418
158 1725 562 （出租）有三相电，永乐店，于家务附近厂房出租 Tongzhou 39.708782 116.796531 340 0.294117647059 13227 3.6412257909 30584.0 46.2102449616
159 273 2317 （出租）出租顺义杨镇十二亩建设地标准仓库厂房独变独院带办公 Shunyi 40.0965602 116.6463431 8000 0.295833333333 19544 1.25328596411 45198.0 29.9473401955
160 1166 4635 （出租）豆各庄朝丰家园仓库900平米 Chaoyang 39.873046 116.572557 900 0.296296296296 2993 0.423927107482 47356.0 20.3062502083
